Age,Income,LoanAmount,CreditScore,YearsExperience,Gender,Education,City,EmploymentType,LoanApproved
22,36923.0,19727.0,621.0,36,Male,High School,New York,Self-Employed,1
28,68937.0,18173.0,612.0,17,Female,Bachelors,Chicago,Salaried,1
50,54140.0,30434.0,802.0,19,Female,High School,New York,Self-Employed,1
39,44057.0,24285.0,660.0,34,Male,High School,San Francisco,Self-Employed,1
55,49488.0,13148.0,621.0,11,Female,Masters,Chicago,Self-Employed,1
37,39721.0,27103.0,846.0,30,Female,Bachelors,Chicago,Self-Employed,0
25,55325.0,26479.0,408.0,15,Female,High School,Chicago,Self-Employed,0
25,40450.0,9218.0,566.0,37,Male,Bachelors,New York,Unemployed,0
39,48477.0,9252.0,804.0,15,Female,PhD,New York,Self-Employed,1
65,58582.0,15833.0,823.0,2,Male,PhD,Houston,Salaried,1
29,21951.0,11812.0,544.0,3,Male,High School,San Francisco,Unemployed,0
40,65202.0,14928.0,456.0,33,Female,Bachelors,Houston,Self-Employed,1
43,49488.0,23568.0,668.0,34,Male,PhD,Chicago,Salaried,1
22,41481.0,16709.0,806.0,20,Male,PhD,Chicago,Salaried,1
33,46142.0,18624.0,316.0,10,Female,Masters,New York,Salaried,0
39,52305.0,11740.0,779.0,38,Female,Masters,Chicago,Unemployed,0
38,52021.0,22256.0,425.0,10,Male,PhD,San Francisco,Unemployed,0
38,59938.0,10183.0,723.0,4,Female,High School,Houston,Self-Employed,1
64,49488.0,10989.0,509.0,37,Female,PhD,Chicago,Unemployed,0
27,25221.0,23790.0,556.0,18,Male,Bachelors,Chicago,Self-Employed,0
67,58975.0,9925.0,708.0,8,Female,PhD,Houston,Salaried,1
69,49488.0,21198.0,327.0,15,Male,Bachelors,Chicago,Salaried,0
35,50785.0,31969.0,803.0,1,Male,High School,New York,Self-Employed,0
41,49488.0,24299.0,579.0,13,Female,High School,Houston,Salaried,0
63,47988.0,29293.0,510.0,18,Male,Masters,New York,Salaried,0
66,43088.0,39686.0,374.0,31,Female,PhD,Chicago,Salaried,0
38,44252.0,10318.0,779.0,13,Male,Masters,Chicago,Salaried,1
27,27401.0,18164.0,809.0,3,Male,Bachelors,Chicago,Unemployed,0
62,80271.0,24444.0,698.0,9,Male,Masters,San Francisco,Self-Employed,1
20,56254.0,45.0,569.0,20,Female,High School,Chicago,Unemployed,0
41,51852.0,19032.0,664.0,26,Female,PhD,Chicago,Self-Employed,1
29,48099.0,20366.0,672.0,33,Male,Bachelors,Chicago,Self-Employed,1
46,53724.0,22673.0,650.0,12,Male,Bachelors,New York,Salaried,1
35,53815.0,23593.0,707.0,29,Male,Bachelors,New York,Salaried,1
24,55608.0,19378.0,646.0,5,Female,Masters,New York,Self-Employed,1
54,52315.0,29604.0,795.0,4,Male,PhD,New York,Self-Employed,1
62,35174.0,29000.0,711.0,6,Male,Bachelors,New York,Salaried,0
32,54399.0,19154.0,659.0,24,Female,Bachelors,San Francisco,Self-Employed,1
35,17828.0,30924.0,323.0,16,Male,PhD,San Francisco,Unemployed,0
31,25924.0,31891.0,531.0,39,Male,Masters,San Francisco,Unemployed,0
48,55174.0,22556.0,767.0,26,Female,Bachelors,New York,Self-Employed,1
60,76749.0,11023.0,717.0,39,Male,PhD,San Francisco,Self-Employed,1
24,45448.0,23632.0,407.0,13,Male,Masters,New York,Salaried,0
49,46800.0,9870.0,692.0,22,Male,High School,New York,Salaried,1
57,67815.0,11855.0,744.0,39,Female,High School,San Francisco,Self-Employed,1
31,49243.0,17627.0,666.0,29,Male,High School,Chicago,Self-Employed,1
30,39396.0,22205.0,717.0,4,Female,Masters,San Francisco,Salaried,0
26,48995.0,15533.0,821.0,29,Male,Bachelors,Chicago,Unemployed,0
37,37370.0,15305.0,515.0,19,Male,Masters,Chicago,Unemployed,0
19,51281.0,24118.0,823.0,33,Male,PhD,Houston,Salaried,1
54,44097.0,18322.0,662.0,7,Female,Masters,Chicago,Salaried,1
31,74821.0,15611.0,708.0,34,Male,Masters,Chicago,Salaried,1
40,46554.0,32110.0,637.0,19,Female,Masters,New York,Self-Employed,1
49,34155.0,11064.0,320.0,34,Female,Bachelors,San Francisco,Unemployed,0
26,41774.0,17288.0,535.0,2,Female,High School,New York,Self-Employed,0
35,74434.0,22466.0,831.0,26,Female,PhD,New York,Self-Employed,1
21,68746.0,20755.0,500.0,5,Male,Bachelors,Houston,Salaried,1
45,77415.0,16041.0,779.0,33,Female,High School,Houston,Salaried,1
37,50523.0,18451.0,609.0,27,Female,High School,San Francisco,Self-Employed,1
22,41571.0,7836.0,678.0,22,Male,Masters,San Francisco,Salaried,1
36,74590.0,17809.0,815.0,35,Male,PhD,San Francisco,Salaried,1
30,41100.0,28567.0,729.0,18,Male,Bachelors,Houston,Unemployed,1
25,59246.0,29153.0,590.0,7,Female,PhD,San Francisco,Salaried,0
18,54552.0,11722.0,526.0,18,Female,PhD,Houston,Unemployed,0
44,48741.0,14874.0,579.0,4,Male,High School,New York,Salaried,0
55,31511.0,14782.0,646.0,34,Female,Masters,Houston,Salaried,0
32,45801.0,21419.0,693.0,39,Female,Bachelors,San Francisco,Salaried,1
69,40956.0,20365.0,841.0,6,Male,PhD,New York,Unemployed,0
65,24389.0,24072.0,554.0,31,Female,PhD,Chicago,Salaried,0
43,49082.0,25846.0,722.0,14,Female,PhD,Houston,Self-Employed,1
61,61805.0,26702.0,478.0,11,Female,Bachelors,Chicago,Self-Employed,0
30,47955.0,27282.0,644.0,28,Female,Masters,Houston,Self-Employed,1
43,37479.0,16772.0,844.0,8,Female,High School,Houston,Self-Employed,0
57,25643.0,27037.0,466.0,30,Female,Bachelors,Chicago,Salaried,0
27,47724.0,28117.0,752.0,35,Female,High School,Houston,Salaried,1
69,55343.0,29462.0,799.0,24,Male,Bachelors,San Francisco,Salaried,1
45,35724.0,17129.0,837.0,19,Male,PhD,Houston,Salaried,0
21,52240.0,27210.0,768.0,34,Female,Bachelors,Houston,Salaried,1
45,28150.0,7156.0,613.0,19,Female,Bachelors,San Francisco,Unemployed,0
35,64721.0,10229.0,750.0,37,Male,Bachelors,New York,Salaried,1
59,33344.0,7530.0,315.0,10,Female,Bachelors,San Francisco,Salaried,0
21,46080.0,13020.0,557.0,12,Female,PhD,Chicago,Self-Employed,0
50,66813.0,11993.0,408.0,24,Male,High School,Chicago,Salaried,0
26,44859.0,17987.0,343.0,32,Female,Bachelors,Houston,Salaried,0
34,53864.0,27643.0,787.0,20,Male,PhD,Chicago,Salaried,1
45,50859.0,18134.0,707.0,31,Female,Masters,Chicago,Salaried,1
51,57549.0,970.0,811.0,2,Male,PhD,New York,Unemployed,0
58,62393.0,9054.0,579.0,22,Female,PhD,Chicago,Unemployed,0
20,50089.0,16449.0,583.0,4,Female,PhD,New York,Self-Employed,1
63,77869.0,18854.0,806.0,27,Male,PhD,Chicago,Salaried,1
36,74606.0,19180.0,418.0,0,Female,Masters,Houston,Salaried,0
64,38281.0,20366.0,315.0,12,Male,Masters,Chicago,Unemployed,0
29,42276.0,16660.0,513.0,34,Female,Bachelors,Houston,Unemployed,1
22,48533.0,21365.0,601.0,14,Male,PhD,Houston,Salaried,1
22,21728.0,25770.0,652.0,27,Male,High School,New York,Salaried,1
42,64359.0,35882.0,767.0,5,Male,Bachelors,San Francisco,Self-Employed,1
21,33951.0,20039.0,346.0,37,Male,Bachelors,San Francisco,Unemployed,0
45,44093.0,21749.0,791.0,15,Male,Bachelors,Chicago,Salaried,1
37,44184.0,8526.0,782.0,10,Male,PhD,New York,Unemployed,0
48,31420.0,19469.0,597.0,32,Male,PhD,San Francisco,Self-Employed,0
49,59635.0,26532.0,625.0,14,Female,Masters,San Francisco,Self-Employed,1
42,53741.0,3065.0,366.0,36,Female,PhD,Houston,Unemployed,0
30,57744.0,20981.0,729.0,39,Male,Masters,San Francisco,Salaried,1
43,60203.0,16135.0,737.0,15,Male,Bachelors,Chicago,Self-Employed,1
45,29043.0,13745.0,421.0,19,Male,High School,Houston,Unemployed,0
50,65290.0,26370.0,755.0,3,Female,PhD,Houston,Self-Employed,1
68,36442.0,21436.0,749.0,36,Male,PhD,San Francisco,Salaried,0
40,43231.0,10950.0,768.0,36,Female,High School,Houston,Salaried,1
19,62134.0,26462.0,713.0,18,Male,Masters,Houston,Unemployed,1
23,51898.0,9632.0,810.0,14,Male,PhD,New York,Salaried,1
23,43292.0,10542.0,579.0,8,Female,Masters,Chicago,Unemployed,0
32,77885.0,19755.0,639.0,10,Female,PhD,Chicago,Self-Employed,1
57,78549.0,16216.0,532.0,27,Female,PhD,Houston,Salaried,1
31,57273.0,10571.0,803.0,25,Female,Bachelors,Houston,Unemployed,0
57,56534.0,53.0,764.0,17,Male,High School,Houston,Self-Employed,1
47,67932.0,15091.0,715.0,38,Male,PhD,New York,Self-Employed,1
30,49494.0,23194.0,650.0,5,Male,Masters,Houston,Salaried,1
25,47886.0,18106.0,835.0,13,Male,Masters,New York,Salaried,1
24,49318.0,21996.0,558.0,20,Female,Bachelors,New York,Self-Employed,0
49,21629.0,21501.0,300.0,17,Female,Bachelors,New York,Salaried,0
50,76322.0,25008.0,691.0,30,Male,Bachelors,San Francisco,Salaried,1
57,63177.0,26546.0,805.0,2,Female,Masters,Chicago,Unemployed,0
29,50048.0,25265.0,758.0,2,Male,Bachelors,San Francisco,Self-Employed,1
53,53440.0,15882.0,502.0,8,Male,Bachelors,Chicago,Self-Employed,0
56,31252.0,4330.0,464.0,0,Female,PhD,Houston,Unemployed,1
56,52174.0,14393.0,561.0,19,Female,Masters,San Francisco,Self-Employed,0
53,61550.0,11260.0,761.0,21,Female,High School,Houston,Salaried,1
31,54584.0,12948.0,698.0,2,Male,High School,Chicago,Self-Employed,1
51,49488.0,17632.0,659.0,22,Male,Masters,San Francisco,Self-Employed,1
59,47388.0,18178.0,729.0,2,Female,Masters,San Francisco,Unemployed,0
23,81652.0,17039.0,357.0,37,Male,High School,San Francisco,Self-Employed,0
51,47383.0,22150.0,622.0,6,Female,High School,Chicago,Unemployed,0
19,31452.0,26437.0,801.0,5,Male,PhD,San Francisco,Self-Employed,0
42,55656.0,17946.0,696.0,11,Female,PhD,San Francisco,Salaried,1
28,57293.0,24703.0,356.0,28,Female,Masters,San Francisco,Salaried,0
66,87275.0,24687.0,579.0,12,Male,Bachelors,Chicago,Unemployed,0
39,54864.0,15428.0,620.0,16,Female,PhD,San Francisco,Self-Employed,1
38,68857.0,31386.0,377.0,8,Male,PhD,Chicago,Salaried,0
21,25187.0,14182.0,686.0,34,Female,Bachelors,Houston,Salaried,0
35,41957.0,31137.0,818.0,5,Male,Bachelors,Houston,Salaried,1
25,49488.0,34203.0,838.0,22,Male,High School,New York,Unemployed,1
30,64594.0,32385.0,793.0,30,Male,Masters,Houston,Salaried,1
37,49488.0,19741.0,674.0,25,Male,Bachelors,Chicago,Self-Employed,1
26,58100.0,18230.0,311.0,10,Female,High School,San Francisco,Self-Employed,0
43,53644.0,13323.0,672.0,38,Male,High School,San Francisco,Salaried,1
39,62957.0,15696.0,432.0,36,Male,Masters,New York,Salaried,0
31,38762.0,17673.0,700.0,8,Female,High School,New York,Self-Employed,0
66,62148.0,26445.0,696.0,16,Male,High School,New York,Salaried,1
47,54461.0,12411.0,798.0,7,Female,High School,New York,Unemployed,0
41,49392.0,3711.0,688.0,37,Male,PhD,Chicago,Salaried,1
51,21980.0,16750.0,829.0,14,Male,PhD,San Francisco,Unemployed,0
32,79863.0,26048.0,579.0,2,Female,Masters,San Francisco,Self-Employed,0
32,85879.0,10341.0,735.0,27,Female,High School,San Francisco,Self-Employed,1
68,86559.0,8020.0,677.0,14,Female,Masters,San Francisco,Salaried,1
43,45141.0,16437.0,696.0,14,Male,Masters,Houston,Salaried,1
36,58360.0,37085.0,557.0,1,Female,Bachelors,Houston,Unemployed,0
27,76022.0,4879.0,636.0,39,Female,Masters,New York,Salaried,1
18,43638.0,21328.0,352.0,37,Female,PhD,Houston,Self-Employed,0
52,51855.0,23587.0,691.0,27,Male,Masters,Houston,Salaried,1
46,45035.0,32942.0,698.0,32,Male,Masters,San Francisco,Salaried,1
28,59078.0,7010.0,475.0,0,Female,Masters,Houston,Salaried,0
22,50148.0,32257.0,746.0,0,Male,PhD,Chicago,Self-Employed,1
59,33244.0,26703.0,675.0,17,Male,Bachelors,Houston,Salaried,0
46,47989.0,23619.0,376.0,13,Male,PhD,New York,Salaried,0
60,51012.0,6553.0,572.0,8,Male,Masters,New York,Unemployed,0
59,50616.0,19335.0,506.0,6,Male,Bachelors,Houston,Salaried,0
19,37725.0,11532.0,615.0,28,Male,Masters,Chicago,Unemployed,0
21,74884.0,7790.0,692.0,34,Female,Bachelors,San Francisco,Self-Employed,1
60,44815.0,12298.0,701.0,17,Female,High School,New York,Self-Employed,1
29,56653.0,25283.0,828.0,36,Male,Bachelors,New York,Salaried,1
60,55732.0,42101.0,471.0,17,Female,High School,San Francisco,Unemployed,1
58,38489.0,28551.0,523.0,14,Female,Bachelors,New York,Unemployed,0
53,77155.0,26234.0,694.0,17,Female,Masters,Houston,Salaried,1
52,62467.0,31669.0,520.0,22,Female,Bachelors,San Francisco,Unemployed,0
18,49488.0,40814.0,412.0,8,Female,High School,Houston,Unemployed,0
22,53982.0,22971.0,579.0,2,Male,PhD,Chicago,Self-Employed,0
44,47948.0,20032.0,654.0,16,Male,PhD,Chicago,Salaried,1
61,73631.0,4848.0,380.0,34,Male,Bachelors,San Francisco,Salaried,0
22,45127.0,26270.0,535.0,36,Female,Bachelors,Chicago,Self-Employed,0
48,74681.0,22232.0,718.0,32,Female,Masters,San Francisco,Self-Employed,1
67,49488.0,27811.0,586.0,20,Male,Bachelors,New York,Salaried,0
43,45965.0,22058.0,613.0,18,Female,Bachelors,Chicago,Self-Employed,1
21,23179.0,9838.0,818.0,29,Male,PhD,Chicago,Salaried,0
25,57966.0,10935.0,767.0,16,Female,Masters,San Francisco,Self-Employed,1
45,52573.0,20965.0,473.0,6,Male,Masters,New York,Self-Employed,0
54,45955.0,19008.0,748.0,6,Female,High School,Houston,Salaried,1
52,57486.0,2707.0,402.0,4,Male,Bachelors,Chicago,Unemployed,0
39,30944.0,36295.0,312.0,12,Female,Masters,San Francisco,Unemployed,0
19,56443.0,26948.0,833.0,16,Male,Bachelors,New York,Salaried,1
34,42887.0,17676.0,772.0,27,Male,PhD,Houston,Self-Employed,1
28,41689.0,14495.0,658.0,33,Male,PhD,New York,Unemployed,0
30,64830.0,16442.0,619.0,4,Male,Bachelors,New York,Unemployed,0
19,47914.0,10560.0,310.0,22,Male,High School,San Francisco,Self-Employed,0
55,67424.0,27171.0,653.0,22,Female,Bachelors,San Francisco,Salaried,1
28,44954.0,8124.0,640.0,14,Female,Masters,San Francisco,Self-Employed,1
57,65718.0,19053.0,609.0,14,Female,PhD,New York,Salaried,1
59,30761.0,14127.0,550.0,14,Female,Masters,Chicago,Unemployed,0
54,43519.0,17557.0,678.0,18,Male,Masters,New York,Unemployed,0
46,60558.0,1131.0,795.0,25,Male,PhD,Houston,Self-Employed,1
69,32881.0,30878.0,579.0,13,Female,PhD,Chicago,Unemployed,1
18,57581.0,17047.0,420.0,1,Male,Bachelors,San Francisco,Salaried,0
63,38415.0,26129.0,538.0,3,Male,Masters,San Francisco,Salaried,0
21,51122.0,34393.0,657.0,36,Female,Bachelors,Houston,Unemployed,0
43,57090.0,22500.0,626.0,30,Female,Bachelors,New York,Self-Employed,1
39,49488.0,27012.0,459.0,17,Male,Masters,San Francisco,Salaried,0
23,67995.0,4845.0,332.0,32,Male,Bachelors,San Francisco,Self-Employed,0
19,43564.0,20702.0,621.0,39,Female,Masters,San Francisco,Unemployed,0
31,67735.0,18009.0,340.0,35,Male,Bachelors,New York,Unemployed,0
46,81358.0,16371.0,785.0,2,Female,Bachelors,San Francisco,Self-Employed,1
69,67338.0,39511.0,680.0,2,Female,Bachelors,Chicago,Unemployed,0
44,65638.0,20473.0,617.0,1,Male,Bachelors,Chicago,Self-Employed,1
37,54063.0,10854.0,787.0,36,Male,Bachelors,Houston,Self-Employed,1
64,60616.0,24967.0,833.0,0,Female,Bachelors,Houston,Self-Employed,1
34,32307.0,32301.0,730.0,2,Female,PhD,Chicago,Unemployed,0
56,42442.0,25699.0,775.0,19,Male,Masters,San Francisco,Salaried,1
57,55705.0,20336.0,635.0,38,Male,High School,San Francisco,Unemployed,0
64,57806.0,22945.0,676.0,17,Male,Masters,Houston,Salaried,1
27,37458.0,35785.0,429.0,36,Male,Masters,San Francisco,Salaried,0
52,52838.0,19369.0,840.0,3,Male,Bachelors,New York,Salaried,1
38,61384.0,22406.0,796.0,33,Female,Masters,Chicago,Salaried,1
58,82243.0,16623.0,478.0,8,Male,PhD,New York,Salaried,0
27,19486.0,13098.0,712.0,29,Male,PhD,Houston,Salaried,0
44,48978.0,21745.0,660.0,16,Male,High School,Houston,Salaried,1
44,49488.0,30111.0,789.0,36,Female,Bachelors,New York,Salaried,1
32,59934.0,21245.0,679.0,39,Male,Bachelors,New York,Salaried,1
37,61479.0,30593.0,794.0,12,Male,High School,New York,Salaried,1
28,12615.0,16117.0,552.0,20,Male,Bachelors,San Francisco,Salaried,0
42,60593.0,29126.0,539.0,35,Male,PhD,Chicago,Self-Employed,0
57,49761.0,15754.0,329.0,14,Male,Bachelors,Houston,Unemployed,0
55,60718.0,7472.0,681.0,36,Female,Masters,New York,Salaried,1
64,39153.0,10199.0,321.0,24,Female,Bachelors,Chicago,Self-Employed,0
67,14176.0,19844.0,783.0,19,Male,PhD,Chicago,Self-Employed,1
34,36312.0,24335.0,709.0,0,Male,Bachelors,Houston,Unemployed,0
36,58928.0,23615.0,648.0,10,Male,Bachelors,New York,Self-Employed,1
59,61030.0,11262.0,353.0,32,Male,High School,San Francisco,Salaried,0
34,56391.0,37264.0,432.0,32,Female,Masters,San Francisco,Unemployed,0
43,33646.0,4358.0,399.0,36,Female,High School,Chicago,Salaried,0
37,33327.0,20058.0,435.0,13,Male,High School,New York,Unemployed,0
56,48716.0,19005.0,821.0,8,Male,PhD,Chicago,Self-Employed,1
53,42343.0,31497.0,840.0,24,Female,Bachelors,New York,Salaried,1
30,57800.0,19454.0,834.0,13,Male,Masters,Houston,Self-Employed,1
59,42961.0,37209.0,444.0,38,Female,PhD,San Francisco,Unemployed,0
68,35183.0,10051.0,441.0,7,Male,High School,Chicago,Self-Employed,0
49,43099.0,17314.0,832.0,13,Female,Bachelors,Houston,Unemployed,0
53,50609.0,21911.0,444.0,22,Male,Masters,New York,Self-Employed,0
38,57878.0,24441.0,653.0,16,Female,High School,New York,Salaried,1
24,46812.0,24154.0,781.0,2,Male,Bachelors,San Francisco,Self-Employed,1
35,44191.0,26347.0,579.0,36,Female,Masters,San Francisco,Salaried,1
24,28242.0,3522.0,847.0,14,Male,High School,Houston,Salaried,0
46,22875.0,12323.0,801.0,16,Female,PhD,New York,Unemployed,1
37,59002.0,17634.0,312.0,0,Female,High School,Chicago,Unemployed,0
27,62149.0,26510.0,663.0,26,Female,Bachelors,San Francisco,Self-Employed,1
37,64609.0,35693.0,688.0,6,Male,Bachelors,Chicago,Self-Employed,1
35,49981.0,20185.0,844.0,30,Male,Masters,Houston,Self-Employed,1
39,50519.0,3284.0,685.0,18,Female,Bachelors,San Francisco,Salaried,1
21,59208.0,23466.0,847.0,30,Male,Bachelors,New York,Unemployed,0
30,44267.0,28791.0,683.0,8,Male,Bachelors,Chicago,Salaried,1
60,51654.0,16360.0,500.0,20,Female,Masters,Chicago,Self-Employed,0
41,61650.0,23660.0,374.0,33,Male,High School,Chicago,Self-Employed,0
31,53394.0,8905.0,387.0,27,Male,High School,Houston,Self-Employed,0
20,27409.0,32741.0,528.0,20,Female,Bachelors,New York,Unemployed,0
22,51843.0,16784.0,524.0,17,Female,High School,San Francisco,Unemployed,0
37,48855.0,14196.0,579.0,32,Male,Bachelors,Chicago,Unemployed,0
39,53192.0,24532.0,633.0,7,Female,PhD,Chicago,Salaried,1
56,38866.0,8265.0,482.0,6,Female,PhD,Houston,Unemployed,0
48,34139.0,18712.0,464.0,35,Male,Masters,Houston,Self-Employed,0
42,32002.0,14251.0,629.0,22,Female,Bachelors,Houston,Self-Employed,0
50,47421.0,12960.0,539.0,17,Female,High School,Chicago,Unemployed,0
55,41069.0,42671.0,624.0,18,Female,PhD,San Francisco,Self-Employed,1
32,48460.0,21873.0,705.0,4,Male,Bachelors,New York,Salaried,1
60,26306.0,18836.0,352.0,8,Female,Masters,New York,Salaried,0
25,54185.0,16788.0,433.0,29,Female,Bachelors,New York,Unemployed,0
41,59212.0,23723.0,365.0,26,Female,Masters,Chicago,Unemployed,0
28,75162.0,17793.0,757.0,9,Female,PhD,New York,Unemployed,0
68,55200.0,28843.0,307.0,20,Female,Bachelors,San Francisco,Self-Employed,0
35,24370.0,23896.0,602.0,1,Male,Masters,Chicago,Unemployed,0
64,61249.0,19914.0,674.0,9,Female,High School,Houston,Salaried,1
50,42384.0,24758.0,601.0,12,Female,Bachelors,Houston,Self-Employed,1
61,68134.0,9779.0,674.0,7,Female,Bachelors,Chicago,Self-Employed,1
19,60534.0,18561.0,625.0,12,Male,PhD,Houston,Self-Employed,1
55,31470.0,20804.0,368.0,5,Male,PhD,San Francisco,Salaried,0
24,40487.0,23348.0,828.0,20,Male,PhD,San Francisco,Self-Employed,1
40,59790.0,23641.0,674.0,35,Female,PhD,Chicago,Salaried,1
61,24233.0,37668.0,435.0,10,Female,High School,Chicago,Self-Employed,0
25,80205.0,8573.0,461.0,15,Female,Bachelors,Houston,Self-Employed,1
42,48390.0,23798.0,789.0,4,Male,Bachelors,Chicago,Self-Employed,1
25,32921.0,31669.0,301.0,26,Female,Bachelors,Chicago,Salaried,1
69,55088.0,31634.0,328.0,14,Male,Bachelors,Chicago,Unemployed,0
18,32735.0,15283.0,698.0,25,Male,Masters,Houston,Salaried,0
51,52655.0,31028.0,656.0,35,Female,PhD,Chicago,Salaried,1
33,11397.0,21791.0,476.0,36,Male,Masters,New York,Unemployed,0
61,54272.0,21251.0,349.0,33,Female,Masters,Houston,Unemployed,0
69,50846.0,17157.0,789.0,22,Female,High School,Chicago,Self-Employed,1
31,48402.0,17577.0,542.0,36,Female,Bachelors,San Francisco,Salaried,0
69,43900.0,9891.0,614.0,11,Male,PhD,Chicago,Self-Employed,1
21,59344.0,16077.0,555.0,39,Male,PhD,Houston,Salaried,0
33,47224.0,21609.0,629.0,26,Female,Masters,New York,Unemployed,0
52,56502.0,9716.0,834.0,13,Female,Bachelors,New York,Unemployed,0
66,51241.0,27007.0,579.0,8,Male,High School,San Francisco,Self-Employed,0
58,38227.0,20223.0,826.0,27,Female,Bachelors,Houston,Self-Employed,0
47,64536.0,22623.0,485.0,30,Male,Bachelors,Chicago,Self-Employed,0
68,52185.0,17476.0,759.0,11,Male,High School,Chicago,Self-Employed,1
57,51906.0,13214.0,605.0,3,Male,Bachelors,San Francisco,Self-Employed,1
19,56031.0,24067.0,808.0,36,Male,Masters,New York,Self-Employed,1
67,25226.0,17942.0,427.0,39,Female,Bachelors,New York,Salaried,0
45,47605.0,15552.0,762.0,17,Male,High School,San Francisco,Salaried,1
58,36567.0,26030.0,576.0,19,Male,High School,San Francisco,Unemployed,0
64,59599.0,25878.0,624.0,31,Female,PhD,New York,Self-Employed,1
43,58142.0,26857.0,454.0,7,Male,High School,Chicago,Self-Employed,0
67,79592.0,15484.0,692.0,2,Male,Masters,Houston,Self-Employed,1
30,36386.0,23355.0,579.0,2,Male,PhD,Houston,Salaried,0
56,65149.0,-456.0,693.0,15,Female,Bachelors,Houston,Salaried,1
55,31124.0,18675.0,389.0,18,Male,Masters,Chicago,Self-Employed,0
45,23533.0,12226.0,797.0,11,Male,Bachelors,Chicago,Self-Employed,0
